ClassName,Attribute,DataType,Version,Notes
AdverseEvent,categoryCode,"CD",3.2,"DEFINITION: A coded value specifying a classification of the adverse event. EXAMPLE(S): bleeding hypoglycemia OTHER NAME(S): NOTE(S): Theoretically speaking the category should be derivable from the subcategory however if there may only be a category and not a subcategory then both attributes must be present in the model. "
AdverseEvent,endRelativeToReferenceCode,"CD",3.2,"DEFINITION: A coded value specifying the end of the adverse event with respect to the sponsor-defined reference period. EXAMPLE(S): before during during/after after OTHER NAME(S): NOTE(S): Sponsors should define the reference period in the study metadata. This may be populated when a start date is not collected. Derived from AdverseEvent.occurrenceDateRange.IVL&lt;TS.DATETIME&gt;.high.TS.DATETIME.uncertainRange.IVL&lt;TS.DATETIME&gt;.high = PerformedStudySubjectMilestone.studyReferenceDateRange then BEFORE AND AdverseEvent.occurenceDateRange.IVL&lt;TS.DATETIME&gt;.low.TS.DATETIME.uncertainRange.IVL&lt;TS.DATETIME&gt;.low = PerformedStudySubjectMilestone.studyReferenceDateRange then AFTER"
AdverseEvent,expectedIndicator,"BL",3.2,"DEFINITION: Specifies whether the specificity (nature) frequency or severity of an adverse event is consistent with the applicable study documentation (e.g. investigator's brochure protocol document or consent document) or product labeling (package insert). EXAMPLE(S): OTHER NAME(S): NOTE(S):"
AdverseEvent,gradeCode,"CD",3.2,"DEFINITION: A coded value specifying the level of injury suffered by the subject or study subject for whom the event is reported. EXAMPLE(S): The gradeCode could be 3 if the CTCAE coding system is being used. OTHER NAME(S): NOTE(S): Derived from PerformedClinicalInterpretation.value(ANY=&gt;CD).code WHERE PerformedObservationResult &gt; PerformedObservation &gt; DefinedObservation.nameCode = grade assessment"
AdverseEvent,highlightedIndicator,"BL",3.2,"DEFINITION: Specifies whether the adverse event or reaction term is a major concern or reason for reporting the adverse event. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
AdverseEvent,hospitalizationRequiredIndicator,"BL",3.2,"DEFINITION: Specifies whether the subject or study subject requires hospitalization or prolongation of existing hospitalization as a result of the adverse event. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
AdverseEvent,locationDescription,"ST",3.2,"DEFINITION: The textual representation of the physical location of the subject or study subject when the adverse event began. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
AdverseEvent,occurrenceDateRange,"IVL<TS.DATETIME>",3.2,"DEFINITION: The date and time span in which the adverse event began and ended. EXAMPLE(S): OTHER NAME(S): onset date resolution date duration NOTE(S): These may be partial dates or durations (duration is the width property of the IVL&lt;TS&gt; data type)."
AdverseEvent,occurrencePatternCode,"CD",3.2,"DEFINITION: A coded value specifying the time recurrence by which an adverse event occurs. EXAMPLE(S): intermittent continuous single event OTHER NAME(S): NOTE(S):"
AdverseEvent,postReportUpdateDate,"TS.DATETIME",3.2,"DEFINITION: The date (and time) on which the adverse event was updated after it had been submitted. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
AdverseEvent,severityCode,"CD",3.2,"DEFINITION: A coded value specifying the intensity of the event. EXAMPLE(S): Moderate could be used to describe acne. OTHER NAME(S): NOTE(S): Derived from the maximum severity observed during the course of the AdverseEvent: PerformedClinicalInterpretation.value(ANY=&gt;CD).code WHERE PerformedClinicalInterpretation &gt; PerformedObservation &gt; DefinedObservation.nameCode = assess severity AND PerformedObservation &gt; AssessedResultRelationship &gt; AdverseEvent."
AdverseEvent,subcategoryCode,"CD",3.2,"DEFINITION: A coded value specifying a subdivision within a larger category of an adverse event. EXAMPLE(S): neurologic OTHER NAME(S): NOTE(S): Theoretically speaking the category should be derivable from the subcategory however if there may only be a category and not a subcategory then both attributes must be present in the model. "
AdverseEvent,summary,"ST",3.2,"DEFINITION: A description of the adverse event and the treatment of the event. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
AdverseEvent,treatmentEmergentIndicator,"BL",3.2,"DEFINITION: Specifies whether the adverse event is something that first arose or become more severe during the studied treatment. EXAMPLE(S): OTHER NAME(S): NOTE(S): This may be derivable if a complete study subject history exists and it can be known with certainty whether (and with what severity) a condition may have pre-existed. However this information is not always available and therefore the attribute has not been marked as derived."
AdverseEvent,unexpectedReasonCode,"DSET<CD>",3.2,"DEFINITION: A coded value specifying why an adverse event (experience or reaction) is considered unanticipated. EXAMPLE(S): severity frequency or specificity from what has been previously documented OTHER NAME(S): NOTE(S):"
AdverseEventSeriousness,code,"CD",3.2,"DEFINITION: A coded value specifying the degree or extent of the consequence suffered by the subject or study subject. EXAMPLE(S): resulted in death required hospitalization was life threatening Results in Death; Is life-threatening; Requires inpatient hospitalization or prolongation of existing hospitalization; Results in persistent or significant disability/incapacity; Is a congenital anomaly/birth defect; In the medical judgment of the treating physician and/or investigator it may jeopardize the participant or require intervention to prevent one of these outcomes; Other specify; Meets criteria per protocol but does not meet other criterion (NCI CRF Standard) OTHER NAME(S): NOTE(S):"
AdverseEventSeriousness,date,"TS.DATETIME",3.2,"DEFINITION: The date (and time) on which the seriousness code was assigned to the adverse event. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
EvaluatedActivityRelationship,probabilityCode,"CD",3.2,"DEFINITION: A coded value specifying the likelihood of the identified cause of an adverse event. EXAMPLE(S): unrelated unlikely possible probable definite (for adverse events in respect to CTEP and FAET) related possibly related unlikely related not related (for adverse events in respect to SDTM &amp; E2B) OTHER NAME(S): NOTE(S):"
EvaluatedActivityRelationship,probabilityPercent,"REAL",3.2,"DEFINITION: A number representing the likelihood of the identified cause of an adverse event. EXAMPLE(S): 60% likelihood that an adverse event was caused by an activity that was performed on the subject or study subject. OTHER NAME(S): NOTE(S):"
EvaluatedActivityRelationship,uncertaintyCode,"CD",3.2,"DEFINITION: A coded value specifying whether and to what degree this evaluation or observation has been asserted to be in doubt in any way. EXAMPLE(S): OTHER NAME(S): NOTE(S):"
EvaluatedResultRelationship,probabilityCode,"CD",3.2,"DEFINITION: A coded value specifying the likelihood of the identified cause of an adverse event. EXAMPLE(S): unrelated unlikely possible probable definite (for adverse events in respect to CTEP and FAET) related possibly related unlikely related not related (for adverse events in respect to SDTM &amp; E2B) OTHER NAME(S): NOTE(S):"
EvaluatedResultRelationship,probabilityPercent,"REAL",3.2,"DEFINITION: A number representing the likelihood of the identified cause of an adverse event. EXAMPLE(S): 60% likelihood that an adverse event was caused by the evaluated result of diabetes. OTHER NAME(S): NOTE(S):"
