ClassNameA,ConnectorType,ClassNameB,RelationshipName,Version,Notes,EAConnectorType
AdverseEvent,ASSOCIATION_WITH,AdverseEventOutcomeAssessment,'is triggered by',3.2,"DESCRIPTION: Each AdverseEventOutcomeAssessment always is triggered by one AdverseEvent. Each AdverseEvent might trigger one or more AdverseEventOutcomeAssessment. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Association"
AdverseEvent,DESCENDENT_OF,PerformedObservationResult,'specializes',3.2,"DESCRIPTION: Each AdverseEvent always specializes one PerformedObservationResult. Each PerformedObservationResult might be specialized by one AdverseEvent. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Generalization"
AdverseEvent,ASSOCIATION_WITH,AdverseEventSeriousness,'describes',3.2,"DESCRIPTION: Each AdverseEventSeriousness always describes one AdverseEvent. Each AdverseEvent might be described by one or more AdverseEventSeriousness. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Association"
AdverseEvent,ASSOCIATION_WITH,CausalAssessment,'is triggered by',3.2,"DESCRIPTION: Each CausalAssessment always is triggered by one AdverseEvent. Each AdverseEvent might trigger one or more CausalAssessment. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Association"
AdverseEvent,ASSOCIATION_WITH,PerformedProductInvestigation,'is triggered by',3.2,"DESCRIPTION: Each PerformedProductInvestigation always is triggered by one AdverseEvent. Each AdverseEvent might trigger one or more PerformedProductInvestigation. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Association"
AdverseEvent,ASSOCIATION_WITH,SafetyReportVersion,'describe',3.2,"DESCRIPTION: Each SafetyReportVersion might describe one or more AdverseEvent. Each AdverseEvent might be described by one or more SafetyReportVersion. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Association"
AdverseEventOutcomeAssessment,DESCENDENT_OF,PerformedObservation,'specializes',3.2,"DESCRIPTION: Each AdverseEventOutcomeAssessment always specializes one PerformedObservation. Each AdverseEventOutcomeAssessment might be specialized by one PerformedObservation. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Generalization"
AdverseEventOutcomeResult,DESCENDENT_OF,PerformedObservationResult,'specializes',3.2,"DESCRIPTION: Each AdverseEventOutcomeResult always specializes one PerformedObservationResult. Each PerformedObservationResult might be specialized by one AdverseEventOutcomeResult. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Generalization"
CausalAssessment,DESCENDENT_OF,PerformedObservation,'specializes',3.2,"DESCRIPTION: Each CausalAssessment always specializes one PerformedObservation. Each PerformedObservation might be specialized by one CausalAssessment. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Generalization"
CausalAssessment,ASSOCIATION_WITH,EvaluatedActivityRelationship,'is evaluated by',3.2,"DESCRIPTION: Each EvaluatedActivityRelationship always is evaluated by one CausalAssessment. Each CausalAssessment might evaluate one or more EvaluatedActivityRelationship. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Association"
CausalAssessment,ASSOCIATION_WITH,EvaluatedResultRelationship,'is evaluated by',3.2,"DESCRIPTION: Each EvaluatedResultRelationship always is evaluated by one CausalAssessment. Each CausalAssessment might evaluate one or more EvaluatedResultRelationship. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Association"
PerformedProductInvestigation,DESCENDENT_OF,PerformedObservation,'specializes',3.2,"DESCRIPTION: Each PerformedProductInvestigation always specializes one PerformedObservation. Each PerformedObservation might be specialized by one PerformedProductInvestigation. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Generalization"
PerformedProductInvestigationResult,DESCENDENT_OF,PerformedObservationResult,'specializes',3.2,"DESCRIPTION: Each PerformedProductInvestigationResult always specializes one PerformedObservationResult. Each PerformedObservationResult might be specialized by one PerformedProductInvestigationResult. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Generalization"
PerformedProductProblemDiscovery,ASSOCIATION_WITH,PerformedProductInvestigation,'is triggered by',3.2,"DESCRIPTION: Each PerformedProductInvestigation always is triggered by one or more PerformedProductProblemDiscovery. Each PerformedProductProblemDiscovery might trigger one or more PerformedProductInvestigation. DEFINITION: EXAMPLE(S): OTHER NAME(S): NOTE(S): ","Association"
